# tau rho ord score
21.000 35.000 0.880 80.66024803213801
21.000 35.000 0.900 93.49001223557337
21.000 35.000 0.920 112.49345570910424
21.000 35.000 0.940 132.69355257234568
21.000 35.000 0.960 153.42725658401267
21.000 35.000 0.980 175.32513692951298
21.000 35.000 1.000 197.22301727501326
21.000 36.000 0.800 68.47915911285574
21.000 36.000 0.820 66.51213151946205
21.000 36.000 0.840 67.5889352389479
21.000 36.000 0.860 70.58968594749524
21.000 36.000 0.880 78.77685519845562
21.000 36.000 0.900 92.40133745957024
21.000 36.000 0.920 112.00869702464433
21.000 36.000 0.940 132.19825565561487
21.000 36.000 0.960 153.37194179540077
21.000 36.000 0.980 175.2686697494716
21.000 36.000 1.000 197.16539770354245
21.000 37.000 0.800 67.17946906423573
21.000 37.000 0.820 64.23226602029813
21.000 37.000 0.840 65.58806683497122
21.000 37.000 0.860 68.72534975862773
21.000 37.000 0.880 76.92214567303908
21.000 37.000 0.900 91.55683882965471
21.000 37.000 0.920 111.5282662753782
21.000 37.000 0.940 131.70738075962558
21.000 37.000 0.960 153.31941888564722
21.000 37.000 0.980 175.21505261243146
21.000 37.000 1.000 197.11068633921585
21.000 38.000 0.800 66.19353663665466
21.000 38.000 0.820 62.28809530537406
21.000 38.000 0.840 63.627197506767665
21.000 38.000 0.860 66.95361248448303
21.000 38.000 0.880 75.48853490972557
21.000 38.000 0.900 90.88356600761422
21.000 38.000 0.920 111.05233414111679
21.000 38.000 0.940 131.37511814476633
21.000 38.000 0.960 153.26971640316566
21.000 38.000 0.980 175.1643146615649
21.000 38.000 1.000 197.0589129199642
21.000 39.000 0.800 65.23670148517888
21.000 39.000 0.820 60.616373942383454
21.000 39.000 0.840 61.70692496487121
21.000 39.000 0.860 65.24339519271209
21.000 39.000 0.880 74.31179035444256
21.000 39.000 0.900 90.42254684508302
21.000 39.000 0.920 110.58107010830707
21.000 39.000 0.940 131.32923949767846
21.000 39.000 0.960 153.22286161465036
21.000 39.000 0.980 175.11648373162225
21.000 39.000 1.000 197.01010584859412
21.000 40.000 0.800 64.30927518200073
21.000 40.000 0.820 58.99571137190619
21.000 40.000 0.840 59.82783217494418
21.000 40.000 0.860 63.5630823857045
21.000 40.000 0.880 73.29048560217173
21.000 40.000 0.900 89.96625885835134
21.000 40.000 0.920 110.11464238853694
21.000 40.000 0.940 131.2861746386211
21.000 40.000 0.960 153.17888048199598
21.000 40.000 0.980 175.0715863253709
21.000 40.000 1.000 196.96429216874586
21.000 41.000 0.800 63.41156234143633
21.000 41.000 0.820 57.79284258339171
21.000 41.000 0.840 57.9904871825798
21.000 41.000 0.860 62.03988979902324
21.000 41.000 0.880 72.49954622977076
21.000 41.000 0.900 89.53869864930986
21.000 41.000 0.920 109.65321783724923
21.000 41.000 0.940 131.24594768931271
21.000 41.000 0.960 153.13779764014913
21.000 41.000 0.980 175.02964759098558
21.000 41.000 1.000 196.92149754182205
21.000 42.000 0.800 62.54386050019018
21.000 42.000 0.820 56.95480202581138
21.000 42.000 0.840 56.27754720027363
21.000 42.000 0.860 60.83215362355533
21.000 42.000 0.880 71.72687231816948
21.000 42.000 0.900 89.32415635099912
21.000 42.000 0.920 109.31752652691452
21.000 42.000 0.940 131.2085814514126
21.000 42.000 0.960 153.09963637591082
21.000 42.000 0.980 174.990691300409
21.000 42.000 1.000 196.88174622490712
21.000 43.000 0.800 61.84293104599841
21.000 43.000 0.820 56.2314846178191
21.000 43.000 0.840 54.875216860191365
21.000 43.000 0.860 59.65607285927969
21.000 43.000 0.880 71.1822271946224
21.000 43.000 0.900 89.11868731540963
21.000 43.000 0.920 109.28377616573178
21.000 43.000 0.940 131.17409738672603
21.000 43.000 0.960 153.06441860772023
21.000 43.000 0.980 174.9547398287144
21.000 43.000 1.000 196.84506104970856
21.000 44.000 0.800 61.34447071198879
21.000 44.000 0.820 55.787783839921936
21.000 44.000 0.840 53.77774494188402
21.000 44.000 0.860 58.628428732947114
21.000 44.000 0.880 70.79667919072341
21.000 44.000 0.900 88.92233517602986
21.000 44.000 0.920 109.2528663303336
21.000 44.000 0.940 131.14251559838434
21.000 44.000 0.960 153.03216486643504
21.000 44.000 0.980 174.92181413448583
21.000 44.000 1.000 196.81146340253656
21.000 45.000 0.800 60.8797326886318
21.000 45.000 0.820 55.40856515803555
21.000 45.000 0.840 53.18796708680837
21.000 45.000 0.860 57.83660225115561
21.000 45.000 0.880 70.5543830568604
21.000 45.000 0.900 88.73514176269819
21.000 45.000 0.920 109.22481534892168
21.000 45.000 0.940 131.1138548130286
21.000 45.000 0.960 153.00289427713568
21.000 45.000 0.980 174.89193374124264
21.000 45.000 1.000 196.78097320534962
21.000 46.000 0.800 60.448870145911314
21.000 46.000 0.820 55.07000647964304
21.000 46.000 0.840 53.06600019071384
21.000 46.000 0.860 57.25654031133511
21.000 46.000 0.880 70.3803438416372
21.000 46.000 0.900 88.5571471107653
21.000 46.000 0.920 109.1996401860524
21.000 46.000 0.940 131.08813236401008
21.000 46.000 0.960 152.9766245419678
21.000 46.000 0.980 174.8651167199255
21.000 46.000 1.000 196.75360889788314
21.000 47.000 0.800 60.05202632441184
21.000 47.000 0.820 54.77223367374494
21.000 47.000 0.840 53.17642369462296
21.000 47.000 0.860 56.86712167337269
21.000 47.000 0.880 70.21533637026539
21.000 47.000 0.900 88.75949816655684
21.000 47.000 0.920 109.17735642720979
21.000 47.000 0.940 131.06536417562742
21.000 47.000 0.960 152.95337192404503
21.000 47.000 0.980 174.8413796724627
21.000 47.000 1.000 196.72938742088027
21.000 48.000 0.800 59.85741257739645
21.000 48.000 0.820 54.515361101802846
21.000 48.000 0.840 53.4726602443458
21.000 48.000 0.860 56.787407094523246
21.000 48.000 0.880 70.05939630344528
21.000 48.000 0.900 88.99374746463293
21.000 48.000 0.920 109.15797826441442
21.000 48.000 0.940 131.0455647484234
21.000 48.000 0.960 152.93315123243244
21.000 48.000 0.980 174.82073771644153
21.000 48.000 1.000 196.70832420045053
21.000 49.000 0.800 59.79377323487024
21.000 49.000 0.820 54.59215242352865
21.000 49.000 0.840 53.98201636807605
21.000 49.000 0.860 57.28693264749911
21.000 49.000 0.880 69.912557570129
21.000 49.000 0.900 89.23401684085397
21.000 49.000 0.920 109.22497277065078
21.000 49.000 0.940 131.02874714554974
21.000 49.000 0.960 152.91597580822102
21.000 49.000 0.980 174.80320447089233
21.000 49.000 1.000 196.6904331335636
21.000 50.000 0.800 59.80195207072522
21.000 50.000 0.820 55.07382741854407
21.000 50.000 0.840 54.617371260483324
21.000 50.000 0.860 58.16597571552879
21.000 50.000 0.880 69.77485237371906
21.000 50.000 0.900 89.4802025762546
21.000 50.000 0.920 109.47662930017138
21.000 50.000 0.940 131.01492298022063
21.000 50.000 0.960 152.90185751171467
21.000 50.000 0.980 174.78879204320882
21.000 50.000 1.000 196.67572657470288
21.000 51.000 0.800 60.11608553740571
21.000 51.000 0.820 55.5904670950384
21.000 51.000 0.840 55.48272015211414
21.000 51.000 0.860 59.30173867636333
21.000 51.000 0.880 69.73017322663753
21.000 51.000 0.900 89.73219989087937
21.000 51.000 0.920 109.73422655512113
21.000 51.000 0.940 131.00410240426837
21.000 51.000 0.960 152.89080671074217
21.000 51.000 0.980 174.77751101721597
21.000 51.000 1.000 196.66421532368977
21.000 52.000 0.800 60.51225418527133
21.000 52.000 0.820 56.326784646844985
21.000 52.000 0.840 56.38736476018264
21.000 52.000 0.860 60.46691681281831
21.000 52.000 0.880 70.28232262719865
21.000 52.000 0.900 89.98990301199446
21.000 52.000 0.920 109.99765641226095
21.000 52.000 0.940 130.99629409781292
21.000 52.000 0.960 152.88283227010686
21.000 52.000 0.980 174.76937044240074
21.000 52.000 1.000 196.65590861469477
21.000 53.000 0.800 60.96824470447028
21.000 53.000 0.820 57.247997952961185
21.000 53.000 0.840 57.3310466835212
21.000 53.000 0.860 61.66111371471715
21.000 53.000 0.880 71.0544456560109
21.000 53.000 0.900 90.25320524165409
21.000 53.000 0.920 110.26680980257979
21.000 53.000 0.940 130.99150526005818
21.000 53.000 0.960 152.87794154218702
21.000 53.000 0.980 174.764377824316
21.000 53.000 1.000 196.65081410644487
21.000 54.000 0.800 61.82858630368425
21.000 54.000 0.820 58.20705520550484
21.000 54.000 0.840 58.44735979175274
21.000 54.000 0.860 62.88392487008211
21.000 54.000 0.880 72.11235838168517
21.000 54.000 0.900 90.52199902355984
21.000 54.000 0.920 110.54157677963892
21.000 54.000 0.940 130.9897416012263
21.000 54.000 0.960 152.87614035869916
21.000 54.000 0.980 174.76253911617215
21.000 54.000 1.000 196.64893787364505
21.000 55.000 0.800 62.77196182947361
21.000 55.000 0.820 59.40115740996778
21.000 55.000 0.840 59.89385292856805
21.000 55.000 0.860 64.13493783800651
21.000 55.000 0.880 73.57593581211805
21.000 55.000 0.900 90.79617600914726
21.000 55.000 0.920 110.82184658712833
21.000 55.000 0.940 130.99100733563836
21.000 55.000 0.960 152.87743302363063
21.000 55.000 0.980 174.763858711623
21.000 55.000 1.000 196.65028439961534
21.200 35.000 0.800 69.79743769599975
21.200 35.000 0.820 67.8577551979035
21.200 35.000 0.840 67.80354520161586
21.200 35.000 0.860 70.68844985306258
21.200 35.000 0.880 78.16408923702424
21.200 35.000 0.900 90.21328610001542
21.200 35.000 0.920 108.27534368122609
21.200 35.000 0.940 128.38374245690497
21.200 35.000 0.960 148.74796857027778
